Legend:,Completed,Cooking,Different Weapon,Dungeons/Towers,Entertainment Industry,Evil/Villain,Family,Female MC,Game,Isekai,Kingdom/World Building,Medical,Medieval Fantasy,Modern World Cheat,Murim,Necromancer,Non-Human,Regression,Reincarnation,Returnee,Revenge,School,Side Character/Extra,Skill Taking,Sports,Sword/Magic Academy,Unique Cheat System,Zombies
,Medical Return (+100) (R),,,Spirit Farmer (+100) (R),,,,Nano List (+100) (C) (R),The Strongest Florist (+100) (D),,,,The Dark Magician Transmigates after 66666 Years (-100) (G),Face Slap (-100) (D),Tale of a Scribe Who Retires to the Countryside (+100) (D),,,The Return of the Crazy Demon (-100) (HR),Duke Pendragon (-100) (D),,The Ember Knight (-100) (HR),Beyond the Strong (-100) (G),,,,,All Rounder (-100) (G),
,Revival Man (+100) (R),,,Dungeon Hunters are Bastards (-100) (D),,,,Unholy Blood (-100) (C) (R),I'm Destined for Greatness! (+100) (D),,,,Legendary Youngest Son of the Marquis House (-100) (G),The Boy of Death (-100) (R),The Heavenly Demon Destroys the Lich King's Murim (-100) (D),,,The Lord's Coins Aren't Decreasing?! (-100) (D),I Reincarnated as the Crazed Heir (-100) (G),,Ha Buk Paeng's Youngest Son (-100) (R),Mabaram The School Conqueror (+100) (D),,,,,Reincarnation of the Murim Clan's Former Ranker (-100) (G),
,Second Life of a Gangster (+100) (G),,,990k Ex-Life Hunter (-100) (M),,,,Crimson Karma (+100) (C) (R),Reader (+100) (M),,,,Memorize (+100) (G),Disaster Boy (-100) (G),Lightning Degree (+100) (R),,,Return of the Shattered Constellation (-100) (G),Strongest Fighter (-100) (D),,Second Life Ranker (+100) (G),Lookism (+100) (R),,,,,Heavenly Demon Cultivation Simulation (-100) (R),
,Rooftop Swordmaster (-100) (G),,,Dungeon House (-100) (D),,,,Burning Effect (+100) (C) (R),Ernak (-100) (D),,,,Reformation of the Deadbeat Noble (-100) (R),Echoes (-100) (D),Chronicles of Heavenly Demon (+100) (R),,,Chronicles of Heavenly Demon (+100) (R),The Dark Magician Transmigates after 66666 Years (-100) (G),,Limitless Abyss (-100) (D),King of Piling (-100) (D),,,,,Success Story of the Omnipotent Soldier (-100) (D),
,Warble (+100) (G),,,Hoarding in Hell (-100) (D),,,,Neolithic Girl (-100) (C) (R),The God of Game of God (-100) (D),,,,The Ember Knight (-100) (HR),I Stack Experience Through Reading Books (+100) (C) (D),Legend of the Northern Blade (+100) (HR),,,Return of the Unrivaled Spear Knight (-100) (G),Villain to Kill (-100) (G),,Reincarnated War God (+100) (C) (G),Gang of School (-100) (D),,,,,Face Genius (-100) (D),
,Epic of Gilgamesh (+100) (HR),,,Seoul Station Druid (-100) (D),,,,Mrs. Angel (-100) (C) (D),Taebaek: The Tutorial Man (-100) (D),,,,The Greatest Estate Developer (-100) (HR),,Doctor's Rebirth (-100) (R),,,Return of the 8th Class Magician (-100) (G),The Heavenly Demon Destroys the Lich King's Murim (-100) (D),,Rooftop Swordmaster (+100) (C) (R),Dog Fight Club (-100) (G),,,,,King of Drama (-100) (G),
,Girls of the Wild's (+100) (R),,,Max Level Returner (+100) (D),,,,Dangu (-100) (C) (D),Legend of Mir: Gold Armored Sword Dragon (-100) (D),,,,The Lord's Coins Aren't Decreasing?! (-100) (D),,Administrator Kang Jin Lee (-100) (R),,,A Returner's Magic Should be Special (+100) (R),Ygret (-100) (D),,The Greatest Outcast (+100) (C) (D),Wind Breaker (+100) (HR),,,,,A.I Doctor (-100) (G),
,Miracle Hero! (+100) (D),,,SSS-Class Gacha Hunter (-100) (D),,,,I Don't Want This Kind of Hero (+100) (C) (G),Arcana Fantasy (-100) (D),,,,The Story of a Low-Rank Soldier Becoming a Monarch (-100) (R),,The World's Best Escort Bureau (-100) (D),,,"Starting Today, I'm a Player (-100) (D)",The Greatest Estate Developer (-100) (HR),,,Plaza (-100) (R),,,,,God of Cooking (-100) (D),
,My Life as a Loser (-100) (R),,,The S-Classes that I Raised (-100) (R),,,,,No Scope (+100) (G),,,,A Returner's Magic Should be Special (+100) (R),,World's Best Assassin (-100) (D),,,Once Again Idol (-100) (G),The Great Mage that Returned after 4000 Years (+100) (R),,,Hanlim Gym (+100) (R),,,,,Omniscient Reader's Viewpoint (+100) (HR),
,Mosquito War (-100) (R),,,Maxed Out Leveling (-100) (G),,,,,Old Newbie Kim ChunSik (-100) (M),,,,Estio (-100) (G),,Storm Inn (-100) (G),,,Tomb Raider King (+100) (D),Chronicles of Heavenly Demon (+100) (R),,,Legend: The Beginning (+100) (D),,,,,The Second Coming of Gluttony (+100) (D),
,Noblesse (+100) (R),,,The Tutorial Tower of the Advanced Player (+100) (G),,,,,Hardcore Leveling Warrior (+100) (C) (R),,,,Ygret (-100) (D),,Enemies (-100) (D),,,Skeleton Soldier Couldn't Protect the Dungeon (+100) (R),Solo Bug Player (+100) (D),,,Second Life of a Gangster (+100) C) (G),,,,,Solo Leveling (+100) (C) (R),
,The Promised Orchid (+100) (R),,,Return to Player (-100) (G),,,,,,,,,Duke Pendragon (-100) (D),,Androids Have No Blood (-100) (D),,,Return of the Legend (-100) (G),Doctor's Rebirth (-100) (R),,,The Villain (+100) (C) (D),,,,,Auto Hunting (-100) (C) (M),
,Immortal Regis (-100) (G),,,Second Life Ranker (+100) (G),,,,,,,,,Solo Bug Player (+100) (D),,Grand General (-100) (G),,,Second Life Producer (-100) (G),The Book of Lagier (-100) (D),,,The Greatest Outcast (+100) (C) (D),,,,,,
,Cavalier of the Abyss (+100) (G),,,Solo Necromancy (-100) (G),,,,,,,,,The Book of Lagier (-100) (D),,Demonic Spirit King (-100) (G),,,SSS-Class Suicide Hunter (-100) (HR),The Heavenly Demon Can't Live a Normal Life (-100) (R),,,Girls of the Wild's (+100) (C) (R),,,,,,
,Crimson Karma (+100) (R),,,Murim Login (+100) (R),,,,,,,,,The Heavenly Demon Can't Live a Normal Life (-100) (R),,Fist Demon of Mount Hua (+100) (R),,,Real Man (+100) (R),Heavenly Martial God (-100) (M),,,Ultimate Legend - Kang Hae Hyo (+100) (C) (D),,,,,,
,I Stack Experience Through Reading Books (+100) (D),,,My Dad is Too Strong (+100) (G),,,,,,,,,Wizard of Arsenia (-100) (D),,Heavenly Martial God (-100) (M),,,My Daughter is a Music Genius (-100) (G),I'm the Only One Loved by the Constellations! (-100) (D),,,Age of Barbarous (-100) (C) (G),,,,,,
,Nano List (+100) (R),,,Kill the Hero (+100) (G),,,,,,,,,Skeleton Soldier Couldn't Protect the Dungeon (+100) (R),,Reincarnation of the Murim Clan's Former Ranker (-100) (G),,,King of Drama (-100) (G),Ha Buk Paeng's Youngest Son (-100) (R),,,Tales of Greed (-100) (C) (D),,,,,,
,Planetary Human (+100) (R),,,Solo Max-Level Newbie (-100) (G),,,,,,,,,The Rebirth of an 8th-Circled Mage (+100) (D),,"Star Instructor, Master Baek (-100) (G)",,,FFF-Class Trash Hero (+100) (R),The Rebirth of an 8th-Circled Mage (+100) (D),,,My Life as a Loser (-100) (C) (R),,,,,,
,Shin Angyo Onshi (-100) (HR),,,Seoul Station Necromancer (-100) (D),,,,,,,,,Trash of the Count's Family (-100) (R),,The Breaker: Eternal Force (-100) (G),,,I Became a Renowned Family's Sword Prodigy (-100) (M),God of Blackfield (+100) (G),,,Transfer Student Storm Bringer (+100) (C) (G),,,,,,
,DICE: The Cube That Changes Everything (+100) (G),,,Return of the Shattered Constellation (-100) (G),,,,,,,,,Mage Again (-100) (R),,MookHyang - Dark Lady (+100) (G),,,This is the Law (-100) (R),Reincarnation of the Murim Clan's Former Ranker (-100) (G),,,Transfer Student Storm Bringer Reboot (-100) (C) (G),,,,,,
,Samadhi (-100) (G),,,The Constellation that Returned from Hell (+100) (G),,,,,,,,,Book Eater (-100) (G),,Bowblade Spirit (+100) (D),,,Judge Lee Han Young (-100) (R),The Scholar's Reincarnation (+100) (R),,,Veritas (-100) (C) (G),,,,,,
,Delivery Knight (-100) (G),,,The Tutorial is Too Hard (-100) (G),,,,,,,,,Return of the 8th Class Magician (-100) (C) (G),,Wind Spirit (-100) (G),,,The God of Pro Wrestling (-100) (D),"Good Luck, Hero! (-100) (G)",,,Zippy Ziggy (-100) (C) (G),,,,,,
,Flow (+100) (G),,,Return of the Frozen Player (-100) (G),,,,,,,,,Slave B (-100) (C) (D),,Weak Teacher (-100) (G),,,"Immortal, Invincible (+100) (D)",Past Lives of the Thunder God (-100) (D),,,,,,,,,
,Slave B (+100) (D),,,Player Who Can't Level Up (-100) (G),,,,,,,,,Miracle Hero! (+100) (C) (D),,Heavenly Demon Cultivation Simulation (-100) (R),,,History of Three States (-100) (R),Trash of the Count's Family (-100) (R),,,,,,,,,
,Trinity Wonder (+100) (G),,,Level 1 Player (-100) (D),,,,,,,,,,,Blade of Wind and Thunder (-100) (G),,,Infinite Level Up in Murim (+100) (HR),"Immortal, Invincible (+100) (D)",,,,,,,,,
,Unholy Blood (-100) (R),,,Heavenly Demon Instructor (-100) (D),,,,,,,,,,,King of Battlefield (-100) (D),,,Past Life Regressor (-100) (D),Call of the Spear (-100) (G),,,,,,,,,
,Hive (+100) (G),,,"Starting Today, I'm a Player (-100) (D)",,,,,,,,,,,Gosam Mussang (+100) (G),,,Return Survival (+100) (C) (R),Lord of Goblins (-100) (D),,,,,,,,,
,Auto Hunting (-100) (M),,,Troll Trap (-100) (G),,,,,,,,,,,The Scholar's Reincarnation (+100) (R),,,Reincarnated War God (+100) (C) (G),Trapped in a Webnovel as a Good-for-Nothing (+100) (G),,,,,,,,,
,"Mom, I'm Sorry (+100) (HR)",,,Tomb Raider King (+100) (D),,,,,,,,,,,The Great Master Sunyoo (-100) (G),,,Second Life of a Gangster (+100) (G) (D),The Dungeon Master (+100) (D),,,,,,,,,
,Burning Effect (+100) (R),,,Solo Spell Caster (+100) (M),,,,,,,,,,,The Greatest in the World (-100) (G),,,Medical Return (+100) (C) (R),Wizard's Martial World (+100) (D),,,,,,,,,
,If A.I Ruled the World (-100) (HR),,,I'm The Only One Loved by the Constellations! (+100) (D),,,,,,,,,,,King of Fire Dragon (-100) (D),,,Again My Life (+100) (C) (G),From the Grave and Back (+100) (G),,,,,,,,,
,About Death (-100) (HR),,,Tower of God (+100) (HR),,,,,,,,,,,Life and Death: The Awakening (-100) (D),,,The Golden Age (-100) (C) (D),Reincarnated War God (+100) (C) (G),,,,,,,,,
,Magician (+100) (R),,,SSS-Class Suicide Hunter (-100) (HR),,,,,,,,,,,The Millenium Alchemist (-100) (D),,,,I Shall Live as a Prince (-100) (C) (R),,,,,,,,,
,It's Mine (-100) (R),,,Undefeated Ranker (-100) (D),,,,,,,,,,,Martial Artist Lee Gwak (-100) (G),,,,Reverse Villain (+100) (C) (M),,,,,,,,,
,Imaginator (-100) (G),,,I am the Sorcerer King (+100) (C) (G),,,,,,,,,,,Return of the Bachelor (+100) (D),,,,,,,,,,,,,
,The Friendly Winter (-100) (G),,,The First Hunter (+100) (C) (R),,,,,,,,,,,Warrior Guard (-100) (D),,,,,,,,,,,,,
,Blast (-100) (D),,,Raid (+100) (C) (D),,,,,,,,,,,Past Lives of the Thunder God (-100) (D),,,,,,,,,,,,,
,Legend Hustle (-100) (D),,,Solo Leveling (+100) (C) (R),,,,,,,,,,,Escort Warrior (+100) (R),,,,,,,,,,,,,
,Kiss Wood (-100) (G),,,,,,,,,,,,,,The Senior Disciple (-100) (D),,,,,,,,,,,,,
,The Phantom King (-100) (D),,,,,,,,,,,,,,The Scholar Warrior (-100) (D),,,,,,,,,,,,,
,Company of Heroes (-100) (D),,,,,,,,,,,,,,Memoir of the King of War (+100) (R),,,,,,,,,,,,,
,Dark Mage (-100) (D),,,,,,,,,,,,,,Reign (-100) (D),,,,,,,,,,,,,
,Layers (-100) (G),,,,,,,,,,,,,,An Ha Muin (-100) (D),,,,,,,,,,,,,
,Layers Anarchy (-100) (G),,,,,,,,,,,,,,Strong Representative (-100) (D),,,,,,,,,,,,,
,Papi Nyang (-100) (G),,,,,,,,,,,,,,Heavenly Moon (-100) (D),,,,,,,,,,,,,
,Remnant (-100) (D),,,,,,,,,,,,,,Peerless Dad (+100) (R),,,,,,,,,,,,,
,Superior Day (-100) (G),,,,,,,,,,,,,,Sword Sheath's Child (+100) (HR),,,,,,,,,,,,,
,Wolf's Castle (-100) (D),,,,,,,,,,,,,,"Immortal, Invincible (+100) (D)",,,,,,,,,,,,,
,Gwi (-100) (D),,,,,,,,,,,,,,"Strong Gale, Mad Dragon (-100) (D)",,,,,,,,,,,,,
,Killer Stall (-100) (D),,,,,,,,,,,,,,Legend of Asura - The Venom Dragon (+100) (R),,,,,,,,,,,,,
,Player Kill (-100) (D),,,,,,,,,,,,,,Infinite Level Up in Murim (+100) (HR),,,,,,,,,,,,,
,Metal Heart (-100) (D),,,,,,,,,,,,,,Severed Head (-100) (D),,,,,,,,,,,,,
,Book Club (-100) (D),,,,,,,,,,,,,,The History of Three States (-100) (R),,,,,,,,,,,,,
,Attaque (-100) (G),,,,,,,,,,,,,,Marchen - The Embodiment of Tales (+100) (D),,,,,,,,,,,,,
,Black Wind (-100) (D),,,,,,,,,,,,,,Wolhan Gangcheonrok (-100) (D),,,,,,,,,,,,,
,Living With One Leg (-100) (G),,,,,,,,,,,,,,Wizard's Martial World (-100) (D),,,,,,,,,,,,,
,The Sword of Emperor (-100) (D),,,,,,,,,,,,,,Gangho Daeran: Life and Punishments (-100) (D),,,,,,,,,,,,,
,Mrs. Angel (-100) (D),,,,,,,,,,,,,,Way to Heaven (+100) (C) (R),,,,,,,,,,,,,
,Lucid Dream (-100) (D),,,,,,,,,,,,,,Reincarnated War God (+100) (C) (G),,,,,,,,,,,,,
,"Secretly, Greatly, Only (-100) (D)",,,,,,,,,,,,,,Reverse Villain (+100) (C) (M),,,,,,,,,,,,,
,Rainbow Rose (-100) (D),,,,,,,,,,,,,,Record of the War God (+100) (C) (G),,,,,,,,,,,,,
,Looking for a Father (-100) (G),,,,,,,,,,,,,,Yongbi (+100) (C) (R),,,,,,,,,,,,,
,Stalker (-100) (G),,,,,,,,,,,,,,Gosu (+100) (C) (R),,,,,,,,,,,,,
,Dokgo (+100) (G),,,,,,,,,,,,,,The Sword of Glory (+100) (C) (G),,,,,,,,,,,,,
,Dokgo Rewind (+100) (G),,,,,,,,,,,,,,Mujang (+100) (C) (R),,,,,,,,,,,,,
,Blind Faith Descent (-100) (G),,,,,,,,,,,,,,The Breaker (-100) (C) (HR),,,,,,,,,,,,,
,Blood Rain (-100) (G),,,,,,,,,,,,,,The Breaker: New Waves (+100) (C) (HR),,,,,,,,,,,,,
,Her Hero (-100) (G),,,,,,,,,,,,,,Red Storm (+100) (C) (R),,,,,,,,,,,,,
,Wizardly Tower (-100) (G),,,,,,,,,,,,,,MookHyang - The Origin (-100) (C) (G),,,,,,,,,,,,,
,Dusk Howler (-100) (G),,,,,,,,,,,,,,The Wanderer (-100) (C) (G),,,,,,,,,,,,,
,Banya: The Explosive Delivery Man (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dangu (-100) (D),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ability (-100) (D),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trace (+100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trace 1.5 (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Trace: Perfume (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sweet x Trouble (-100) (D),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Gepetto (+100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lessa (-100) (R),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lessa 2: The Crimson Knight (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aisopos (+100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Friday: Forbidden Tales (+100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,God of Bath (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Witch Hunt (-100) (D),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Honorable Baek Dong Soo (-100) (D),,,,,,,,,,,,,,,,,,,,,,,,,,,
,We On - Be the Shield (-100) (D),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ties of Compassion (+100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,A Fairytale For The Demon Lord (-100) (D),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Wake Up Deadman (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Shards of Sin (-100) (D),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Threads of Time (-100) (D),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Highschool (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,He is a Highschool Girl (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,I Don't Want This Kind of Hero (+100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Under PRIN (+100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Supernatural Investigation Department (+100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pain Killer (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Super Rich (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Watch Dog (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Priest (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Garden Club Detective Squad (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,See No Evil (-100) (D),,,,,,,,,,,,,,,,,,,,,,,,,,,
,City of Dead Sorcerer (+100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Record of the War God (+100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zen Martial Arts Academy (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Zippy Ziggy (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transfer Student Storm Bringer (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Transfer Student Oh-Deokgu (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Flower War (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Fog (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Paladin (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Familyman (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Like a Butterfly (-100) (D),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Veritas (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,The Real Antismoking Campaign Manhwa (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nephilim John (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Neolithic Girl (-100) (R),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Divine Bells (+100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Ghost Teller (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Westwood Vibrato (-100) (R),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afterwords (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Moon You (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,I Have Something to Tell You (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Afterschool War Activities (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Annarasumanara (-100) (R),,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orange Marmalade (-100) (G),,,,,,,,,,,,,,,,,,,,,,,,,,,
